UNTR_The_002_1	UNTR_The_002_2	UNTR_The_002_3	UNTR_The_008_1	UNTR_The_008_2	UNTR_The_008_3	UNTR_The_024_1	UNTR_The_024_2	UNTR_The_024_3	UNTR_The_072_1	UNTR_The_072_2	UNTR_The_072_3
P46783 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P46821	1245.7518	355.59622	4498.7725	15546.117	14617.286	19034.902	5748.7217	6203.827	6217.6157	6735.087	3751.0547	5575.5625
P46821 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P47755	13597.455	6536.205	26785.6	26413.82	18934.328	30581.969	NA	NA	NA	NA	NA	NA
P47755 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P47756	11225.33	5991.235	22797.445	26020.438	18569.777	28726.56	20127.5	21509.633	18697.713	24031.885	17686.299	21320.787
P47756 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P47897	4495.4526	1682.9226	5160.6416	7015.387	5399.508	7696.37	NA	NA	NA	NA	NA	NA
P47897 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P47914	19417.562	12326.858	51629.996	38748.55	36771.953	44905.535	NA	NA	NA	33797.645	27075.697	30575.973
P47914 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P48047	27153.184	16927.346	49271.79	71808.375	37982.355	60313.145	46673.41	54296.26	53376.65	81371.516	47028.305	64768.9
P48047 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P48147	26921.527	7393.46	26989.344	29954.736	21644.95	38204.574	7929.3975	11269.959	12316.453	27168.3	12042.352	20751.281
P48147 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P48643	6072.5605	3661.0347	9919.709	23749.332	18501.312	24941.906	8659.426	9876.752	9105.586	16167.185	12814.41	14483.262
P48643 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P48681	9849.281	4269.6675	12003.983	14277.845	8549.14	12912.135	13724.248	15430.237	14553.225	20857.781	12017.37	13816.87
P48681 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P48735	147566.27	76397.41	202837.36	164745.7	123624.266	221026.97	121207.64	153655.16	117680.32	240804.36	177066.31	231200.81
P48735 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P49207	14335.357	9553.98	24002.578	14346.505	10432.14	16025.777	5550.871	8068.413	3705.4072	17705.516	15291.37	19386.852
P49207 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P49327	5968.9375	2175.5735	5529.214	2490.1125	2213.6538	3536.7124	NA	NA	NA	3998.429	2673.3064	3996.7295
P49327 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P49368	33786.07	13345.223	39592.414	16685.89	17524.531	24767.752	21390.98	22270.355	19493.621	17173.898	12570.3955	15234.805
P49368 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P49406	574.7523	289.9483	1486.8368	NA	NA	NA	NA	NA	NA	NA	NA	NA
P49406 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P49419	10088.299	4780.08	13883.713	13667.473	9274.979	17861.69	11857.135	15708.024	12945.117	18223	9681.506	14435.71
P49419 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P49458	6102.7085	2908.9963	8747.6875	10946.777	6981.0195	9118.919	NA	NA	NA	NA	NA	NA
P49458 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P49585	1052.8849	357.1281	1752.5071	NA	NA	NA	NA	NA	NA	NA	NA	NA
P49585 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P49588	3271.947	1130.4333	5436.1865	6632.6064	3631.2864	5422.8716	5078.9927	6295.6846	6969.625	NA	NA	NA
P49588 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P49591	4052.1792	1426.7755	5435.422	6876.686	5719.8813	7219.521	NA	NA	NA	NA	NA	NA
P49591 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P49721	5932.32	2326.5889	13704.018	6599.0483	5343.7666	10284.216	NA	NA	NA	NA	NA	NA
P49721 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P49748	13382.89	7242.335	22056.613	48599.58	36222.64	48100.016	37093.453	41847.84	31009.49	44959.227	30009.66	40226.35
P49748 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P49755	13302.627	3206.1006	13487.479	17862.637	13698.475	26358.375	12557.053	11692.631	12703.103	17222.57	11663.773	15450.966
P49755 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P49773	15004.801	5664.2715	20963.625	23590.293	15653.975	23369.238	NA	NA	NA	12727.16	10789.962	15272.15
P49773 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P49821	5882.1934	4750.794	11026.803	26372.926	22514.32	36184.473	13578.103	15241.893	7685.4966	38790.758	27620.717	33038.523
P49821 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P50213	43965.72	21958.496	63764.414	51666.195	44226.23	58516.266	50646.953	65534.375	51339.086	69339.09	51627.33	71008.125
P50213 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P50238	1473.8849	974.13354	3330.3604	NA	NA	NA	NA	NA	NA	NA	NA	NA
P50238 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P50395	29189.04	11601.334	49117.273	41971.54	37878.91	49168.76	26866.727	30133.58	31313.768	47441.72	31096.55	46649.12
P50395 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P50453	2685.7527	1123.3806	1959.752	3639.0376	2415.013	2850.6692	NA	NA	NA	2697.5676	1355.0415	2467.9465
P50453 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P50454	88915.39	42103.086	162863.19	138189.72	106402.945	183501.45	59204.492	67435.24	50917.875	118596.58	81075.766	111189.88
P50454 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P50461	250404.25	131627.06	386522.06	210733.1	115691.15	183447.06	266958.25	301212.8	307981.8	427116.06	300413.5	367265.75
P50461 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P50552	2103.8	1458.8423	3599.3171	NA	NA	NA	NA	NA	NA	NA	NA	NA
P50552 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P50570	3780.1821	1540.2594	6804.7715	2562.7336	3340.935	6434.703	NA	NA	NA	NA	NA	NA
P50570 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P50895	1927.4084	1415.1123	3393.4858	NA	NA	NA	NA	NA	NA	4745.7144	891.2781	4327.1562
P50895 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P50914	15367.075	6756.9995	34313.336	14111.816	17267.922	34442.11	14487.232	18188.605	10815.831	33399.094	26719.334	36674.914
P50914 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P50990	23359.543	7888.4946	33291.816	43526.15	35368.35	45956.027	24281.805	25215.506	25494.203	40990.047	33484.164	40673.934
P50990 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P50991	22915.053	11299.842	39059.832	30392.262	31123.875	45481.168	8438.482	8333.169	6582.79	36603.305	21826.143	31899.986
P50991 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P50995	14619.189	6689.3457	23234.29	18627.715	16446.428	20435.043	2463.071	2217.4492	7319.221	19882.18	10103.576	16969.047
P50995 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P51149	5933.956	1452.5251	9342.883	7844.7095	11889.557	13895.135	NA	NA	NA	NA	NA	NA
P51149 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P51452	1052.9012	106.39263	5786.7285	18509.93	16081.316	25212.107	NA	NA	NA	14692.705	6621.1885	14924.983
P51452 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P51553	3137.3257	581.87415	4961.58	12597.078	11495.049	15094.498	22074.379	24767.023	23102.473	11556.855	8484.714	9114.628
P51553 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P51571	5434.1606	2675.5913	10254.905	NA	NA	NA	NA	NA	NA	NA	NA	NA
P51571 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P51659	4837.235	2418.7454	15460.482	5229.59	5125.776	8093.618	11977.326	12981.332	6129.7344	37002.746	20437.77	28886.717
P51659 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P51858	14220.637	2153.9387	12100.594	NA	NA	NA	NA	NA	NA	NA	NA	NA
P51858 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P51911	1576.0001	936.7511	3812.6924	NA	NA	NA	NA	NA	NA	NA	NA	NA
P51911 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P51970	27981.053	14727.951	46571.125	10547.214	11398.403	16720.07	NA	NA	NA	11670.715	7846.1865	12322.973
P51970 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P51991	16233.465	3815.776	20100.049	23651.54	17507.05	23705.967	31521.445	32830.41	42287.86	48466.688	32613.598	50462.254
P51991 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P52179	6411.6216	3952.9834	9920.951	9784.871	6482.189	11924.627	8111.1445	9338.633	8280.772	6766.818	4967.064	7256.5
P52179 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P52272	25147.77	12632.977	38616.04	40795.5	29915.754	43602.18	6650.785	10335.305	7087.9155	37439.977	23433.404	31506.01
P52272 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P52565	48001.188	24553.512	69527.04	45589	32227.492	45049.297	9513.985	8971.861	15728.673	50526.7	31814.602	40735.03
P52565 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P52597	8103.7812	2949.7908	12917.777	8938.891	11726.712	22366.195	6734.7217	6933.128	4185.7266	5548.412	5579.648	5075.828
P52597 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P52815	10995.8	5461.1943	24676.176	24489.285	19062.053	25675.521	18372.18	22452.904	16409.977	17614.129	12395.912	14674.985
P52815 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P52907	8331.891	3719.3499	9640.795	28057.72	24072.8	41127.586	39445.023	44711.145	39968.195	51156.008	37241.65	50632.156
P52907 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P52943	44694.72	40113.37	120750.59	116066.03	76443.8	133001.36	24383.914	27228.773	22414.125	93974.08	85470.56	85808.05
P52943 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P53582	998.598	550.8417	1736.4264	5258.79	4589.997	9181.83	NA	NA	NA	NA	NA	NA
P53582 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P53597	1094.4706	145.8286	8338.592	21112.352	13798.722	19627.523	10516.367	12845.552	7790.7915	57511.035	38109.723	52007.08
P53597 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P53621	3082.1243	2640.3447	8620.849	1528.1069	2530.8203	8634.047	3936.6802	5565.0176	3294.787	6172.3535	4168.711	6562.9717
P53621 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P53634	6243.699	2023.9277	7295.3564	33417.258	23240.322	40224.465	13987.842	13967.43	24984.434	NA	NA	NA
P53634 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P53999	22722.705	6902.0537	13793.533	27442.354	13665.249	21260.066	6244.7197	6169.3154	9914.795	NA	NA	NA
P53999 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P54136	1131.3013	491.74197	3373.4126	3131.4546	2717.6658	3779.356	NA	NA	NA	9160.352	5951.0435	8602.559
P54136 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P54577	2031.442	1694.0361	8615.571	18814.686	11570.966	16062.479	NA	NA	NA	6337.132	6739.5312	6811.3403
P54577 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P54578	1477.8201	972.936	5654.9033	4756.3613	3638.8684	6558.8457	NA	NA	NA	14691.562	7715.219	13312.689
P54578 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P54727	2384.976	2608.871	6686.1064	4764.1797	3461.8525	4707.1377	1927.7395	2030.8596	4228.467	4437.5146	3201.616	4551.641
P54727 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P54802	1334.9304	744.83984	2297.761	3227.0781	2662.8677	5246.328	NA	NA	NA	NA	NA	NA
P54802 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P54819	22000.654	8577.76	39508.77	32166.87	30623.648	38547.375	18674.016	24251.672	26865.457	27757.148	28060.277	35530.33
P54819 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P54920	5438.0654	2745.7153	6683.3794	NA	NA	NA	1506.9536	1572.6525	1647.7073	7323.862	5186.629	7735.868
P54920 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P55036	8078.2456	4097.7007	11494.763	24631.055	15983.855	23231.723	2881.3992	2959.2017	5540.808	NA	NA	NA
P55036 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P55072	67362.3	27515.453	94358.78	68016.74	51520.812	86271.59	69406.67	74801.47	79595.72	50800.676	30135.832	44279.168
P55072 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P55084	16517.607	13713.16	25287.523	25669.955	19497.297	26121.996	33397.402	36700.82	31689.408	31632.031	26814.482	25662.158
P55084 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P55209	13955.75	2322.492	11744.605	15582.398	15207.26	18296.137	13429.322	14758.813	11936.272	53506.594	39662.984	53058.812
P55209 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P55268	9125.768	4630.7354	15380.452	16413.527	12707.1045	24771.629	5601.4336	5281.892	5004.166	15860.654	13226.714	15321.293
P55268 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P55735	5423.0273	1178.1045	3622.1816	NA	NA	NA	NA	NA	NA	NA	NA	NA
P55735 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P55786	15741.462	6523.208	21966.59	34889.79	33794.83	57683.67	20596.768	19724.215	9841.236	38861.92	25383.117	37653.844
P55786 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P55795	26271.873	4308.568	22287.457	25803.668	19222.11	42785.375	14735.868	15549.681	18890.865	13850.559	8671.2	11813.143
P55795 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P55809	16412.889	8596.921	23226.559	38398.047	31028.834	67695.69	22994.77	26313.328	20400.744	62173.5	13727.424	53790.496
P55809 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P56134	35202.926	10059.67	46277.41	51407.3	44583.42	69480.26	28679.48	32282.578	36461.062	51645.086	30193.24	56634.48
P56134 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P56192	11258.011	2291.2542	7947.8	2151.4878	2709.2378	4177.4736	4824.4556	5109.3926	2767.9668	NA	NA	NA
P56192 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P56385	23002.379	8500.457	51571.723	27490.629	31249.734	58265.902	14319.43	16366.0625	11602.531	46904.62	34998.895	52358.312
P56385 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P59998	12443.739	5044.4497	17390.754	21559.816	17499.254	27587.633	17324.78	19828.434	22574.588	19417.36	10467.686	18459.314
P59998 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P60174	239735.6	163138.69	433307	715800.4	612687.3	934002.7	268558.2	293620.97	252534.39	428843.2	300417.25	384941.5
P60174 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P60228	826.00195	36.88007	3430.8035	NA	NA	NA	NA	NA	NA	NA	NA	NA
P60228 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P60660	85469.35	54521.676	141071.92	80752.664	44766.688	75588.86	69656.164	80074.47	66925.67	91426.33	68421.59	86892.46
P60660 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P60842	17618.023	2419.5203	20735.52	39571.523	29379.64	49923.902	11420.52	12299.02	11014.001	34538.19	10521.304	20354.703
P60842 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P60900	6529.1895	6150.151	18827.57	37147.92	29106.105	40942.477	25273.225	32677.574	30185.215	37249.094	27475.004	33430.914
P60900 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P60903	9848.124	3795.528	10866.55	12671.154	14182.913	17043.021	14576.213	13756.637	15934.436	14007.32	12174.041	15386.381
P60903 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P60953	3491.6404	1726.3287	5551.1494	5252.8667	6416.2246	8138.5356	NA	NA	NA	NA	NA	NA
P60953 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P60981	23143.787	6039.097	36056.594	61109.83	67988.95	98241.445	33702.24	33211.164	31405.375	23546.572	17443.777	26576.164
P60981 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P61019	7267.167	5311.5312	13168.117	16642.135	14765.785	21747.336	11924.736	11888.981	8532.293	16752.158	9207.216	13984.035
P61019 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P61026	2923.6238	1733.4253	4035.221	4249.2686	3191.3027	5949.9746	3557.8809	3460.526	1448.8474	2521.8857	2186.116	2560.4373
P61026 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P61158	4679.904	3746.2188	6878.1133	24574.816	24916.383	34478.977	6706.756	8833.014	5162.3335	54081.953	35614.945	48420.484
P61158 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P61160	10426.422	4279.733	19702.9	10253.703	8148.584	13261.847	2022.5565	2133.8167	2945.552	7874.4424	5299.7314	6430.535
P61160 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P61163	56308.137	32935.598	95558.734	79386.08	62091.758	100074	86778.625	87275.18	69409.92	98059.97	88425.87	100761.47
P61163 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P61247	24312.914	16276.521	34564.92	41071.56	33643.867	56647.664	25447.883	34565.824	24606.115	33575.15	30815.275	36652.16
P61247 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P61254	7144.961	1277.1644	12943.6	NA	NA	NA	NA	NA	NA	NA	NA	NA
P61254 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P61313	7147.3574	2916.8184	14018.074	18475.309	6895.285	8766.812	8776.51	12309.195	5488.6323	11159.011	9415.43	11845.8955
P61313 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P61353	14275.15	7918.7603	18079.238	19393.541	25365.05	29143.58	NA	NA	NA	14658.032	16015.219	13744.102
P61353 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P61513	10730.562	7684.3057	31195.79	15052.638	11304.682	15701.87	NA	NA	NA	NA	NA	NA
P61513 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P61586	13202.357	5721.0596	19892.559	16776.86	19476.453	29764.867	15246.393	17182.904	12327.57	NA	NA	NA
P61586 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P61604	168228.34	80887.234	225190.42	246321.92	180023.5	257976.6	195027.25	168005.81	135102.34	151808.72	57914.64	117571.14
P61604 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P61916	6667.9277	4549.6865	9558.303	12029.972	12202.692	15010.373	NA	NA	NA	10915.111	8196.379	8512.745
P61916 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P61970	9602.885	6353.8965	14092.933	17671.887	19373.633	46326.23	NA	NA	NA	NA	NA	NA
P61970 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P61978	42576.977	24749.158	58502.105	68595.64	76706.47	111793.625	31135.691	30564.803	23481.451	52660.29	40035.707	49058.65
P61978 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P61981	75058.555	44958.25	98355.92	113327.66	81471.875	103712.984	91372.75	77221.04	83812.64	38783.39	32268.623	36699.758
P61981 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62081	40378.97	9324.039	56732.996	30845.383	30029.098	51923.656	NA	NA	NA	36526.883	11107.3125	34110.43
P62081 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62136	6544.8394	3944.381	17516.016	NA	NA	NA	NA	NA	NA	NA	NA	NA
P62136 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62195	4551.985	3125.9404	8787.129	8661.513	7686.7837	10541.457	9010.009	10670.904	8459.075	11586.515	8139.6973	10211.302
P62195 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62241	79472.695	29631.04	113753.24	100658.05	79694.91	117681.836	41938.48	46533.53	36238.85	109344.5	67753.84	110304.22
P62241 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62249	5484.7227	4041.5752	10242.664	5686.465	7146.519	11480.642	7357.0083	9411.637	10131.8125	8530.059	5552.0566	5702.4297
P62249 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62258	68000.734	42987.938	106037.625	150636.39	110958.99	168658.22	72368.05	69900.016	76858.984	105189.78	85069.31	96802.53
P62258 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62263	1297.0143	2088.223	5873.28	4283.149	4270.1807	6339.5913	NA	NA	NA	4223.5967	2260.9253	3112.5767
P62263 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62266	7754.307	7040.3086	25075.594	16489.748	21470.45	26921.254	5988.912	6492.216	7536.2344	21560.02	16677.05	20171.277
P62266 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62273	3084.2034	4111.088	5662.7446	NA	NA	NA	NA	NA	NA	NA	NA	NA
P62273 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62277	943.9171	436.44305	4670.24	NA	NA	NA	NA	NA	NA	2874.851	1849.8678	2564.477
P62277 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62280	6056.7925	3594.542	13085.816	9148.413	9023.735	11962.182	12370.8545	18878.186	7043.0938	9971.301	11630.658	13863.238
P62280 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62306	2931.5398	1139.6738	7641.419	9798.249	5707.1055	12605.456	NA	NA	NA	5816.0938	4483.6924	5968.935
P62306 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62316	5153.645	2038.5477	7221.0693	NA	NA	NA	NA	NA	NA	NA	NA	NA
P62316 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62318	22415.277	7994.1494	33115.258	22071.803	16033.768	25990.564	NA	NA	NA	21248.982	11438.818	17273.408
P62318 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62333	9015.512	3226.8594	13002.985	12587.168	11680.169	17594.867	7620.993	11205.133	11714.994	11911.039	8520.134	9882.983
P62333 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62424	7212.3887	4650.524	11185.23	24720.18	21084.793	30034.373	20274.486	22766.752	4379.0767	14836.883	11349.637	14153.058
P62424 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62495	721.40204	595.2582	5335.655	NA	NA	NA	NA	NA	NA	NA	NA	NA
P62495 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62633	4150.13	2067.7788	5126.081	NA	NA	NA	NA	NA	NA	NA	NA	NA
P62633 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62701	3565.1738	2688.5864	14528.288	7972.133	6465.671	11524.803	8435.229	10370.495	4910.0566	4966.28	4462.3047	6449.6553
P62701 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62750	23195.63	12850.799	39062.703	14687.414	14462.738	26440.238	21198.113	19791.742	6374.1733	33080.902	19290.252	29375.102
P62750 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62753	14201.896	9380.547	23214.45	27149.525	17544.668	26969.645	9279.453	9326.875	6312.4297	20918.902	16703.713	20183.33
P62753 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62805	36584.066	31199.63	202090.19	148765.97	162866.56	274170.5	165099.38	154025.98	38923.336	227234.67	156232.78	239378.11
P62805 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62820	9713.657	4708.3574	10526.209	1870.393	1292.789	2187.3208	1549.3898	1713.291	1053.033	4894.7007	3687.1963	4735.1323
P62820 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62826	42889.344	20534.895	57386.79	41726.02	29030.352	39144.215	25769.867	30101.14	23760.193	47195.312	35707.008	43606.11
P62826 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62829	2569.1445	1779.9543	7423.5957	53873.586	45412.074	79847.55	NA	NA	NA	NA	NA	NA
P62829 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62841	592.45404	801.8479	5885.506	9766.107	8827.085	15086.377	NA	NA	NA	NA	NA	NA
P62841 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62851	22697.617	8584.807	34068.074	14087.9	14601.436	23699.074	4875.2896	5729.056	4656.699	11080.969	10365.119	10813.749
P62851 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62854	25569.855	13127.573	55978.11	32695.613	31498.393	52712.28	33082.055	33973.23	22501.242	28051.025	21872.03	27996.207
P62854 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62873	8566.745	6711.8438	14302.738	21443.547	18547.404	30609.117	14707.8	18120.34	20327.486	8592.134	8028.7856	8119.8267
P62873 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62879	23841.676	6591.382	28123.854	13018.137	10170.184	18506.57	17040.137	19155.588	24534.902	11357.833	8283.286	9573.939
P62879 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62888	23787.156	8621.803	36416.8	19652.312	20120.148	41222.492	NA	NA	NA	46608.227	19692.508	33541.016
P62888 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62899	13989.934	5691.6514	23748.64	15105.614	14076.039	23094.78	10817.778	10015.954	8858.466	NA	NA	NA
P62899 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62906	7442.3677	1914.3186	11148.736	3650.139	4830.7236	12345.445	6196.412	7006.534	5242.757	NA	NA	NA
P62906 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62910	27082.902	6394.244	40776.95	23664.54	15771.152	28666.395	22966.562	28297.156	26825.48	13411.141	10745.206	11489.68
P62910 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62913	4371.571	4081.9155	9415.295	37459.625	25896.895	45846.973	25144.215	32391.752	34074.15	37739.332	22764.121	29518.92
P62913 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62917	16769.27	4205.454	20359.695	15908.066	16806.4	23850.922	15990.289	16529.988	11874.838	13223.238	9472.239	13899.818
P62917 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62937	311338.56	104017.44	383059.7	431794	359234.6	523589.22	432332.84	511703.06	588165.5	448848.75	315150.62	376907.38
P62937 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62942	18821.922	11668.254	32093.121	50904.582	34611.543	55488.492	35905.324	39838.418	34457.043	38927.266	28365.156	33671.324
P62942 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62979	34481.79	21490.64	47345.273	25338.04	24980.02	40230.32	NA	NA	NA	NA	NA	NA
P62979 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P62995	8993.574	3752.5098	13181.061	29216.662	32578.777	51295.598	25712.027	26839.668	34761.574	35654.617	20918.643	30301.734
P62995 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P63000	3821.427	2849.9155	5450.1133	NA	NA	NA	NA	NA	NA	NA	NA	NA
P63000 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P63010	4801.107	3136.5261	9882.752	12074.078	8960.32	12932.336	7815.0703	8475.147	3811.9006	8739.994	7063.4004	8160.5977
P63010 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P63104	176689.31	125672.234	273096.25	283953.5	257113.81	313472.44	137880.03	185822.31	133379.95	161385.92	92670.36	124102.164
P63104 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P63167	11074.05	5218.0312	17123.768	NA	NA	NA	NA	NA	NA	NA	NA	NA
P63167 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P63173	16386.98	9595.37	28622.262	30104.42	27632.408	34380.98	21672.146	22853.516	19630.092	15344.5	8138.866	14980.4375
