UNTR_The_002_1	UNTR_The_002_2	UNTR_The_002_3	UNTR_The_008_1	UNTR_The_008_2	UNTR_The_008_3	UNTR_The_024_1	UNTR_The_024_2	UNTR_The_024_3	UNTR_The_072_1	UNTR_The_072_2	UNTR_The_072_3
P05455	21784.25	4632.1626	27431.957	18928.191	20404.766	29833.62	9538.404	9591.514	9606.538	25528.285	14660.633	23933.043
P05455 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P05543	8119.2007	4234.7754	2639.962	5390.8223	3157.2964	4426.102	8314.971	7493.5703	10556.785	6354.8926	2024.7985	6056.5107
P05543 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P05556	18925.84	11930.547	26142.594	56897.277	54433.8	73132.766	45241.848	40043.43	40657.977	33094.277	24701.314	33589.81
P05556 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P05783	47958.145	25054.844	80850.984	45797.812	49073.08	54681.11	44100.508	39873.42	37935.62	67127.69	59825.727	62728.508
P05783 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P05787	48949.66	20573.092	71776.625	76172.48	69588.58	108202.055	52757.156	54572.023	67172.39	122230.3	94597.91	114362.305
P05787 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P06396	63612.51	44049.72	73733.09	79371.38	80783.164	97786.03	92456.19	84430.6	85755.28	83889.36	87648.21	78383.18
P06396 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P06576	819922.75	424197.47	1318575.5	663457.6	649882.1	984098.5	756929.9	993982.6	929934.1	849138.4	696831.4	837231
P06576 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P06703	26159.574	23725.027	47917.4	52008.836	46460.773	63021.625	29110.965	27602.787	24659.045	23552.504	19487.682	23653.371
P06703 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P06732	50441.742	26153.17	69168.89	79799.78	68197.35	101492.89	56305.76	57470.473	84681.625	128794.91	84970.08	139210.78
P06732 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P06733	139580.55	44879.58	215095.97	169835.69	177757.02	283044.3	88683.31	99121.27	78836.57	252181.73	147846.5	217788.9
P06733 TRC values	0	0	0	0	0	0	0	0	0	0	0	0
P06744	218631.39	112849.19	325469.8	86639.51	71494.6	126697.32	177519.12	169030.88	170180.05	305520.75	138276.38	316439.84
