baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000004975.11	679.121550637064	-0.195821500804779	1.57984049900488	-0.123950171506633	0.901354728088044	0.984785798504225
ENSG00000005001.9	0	NA	NA	NA	NA	NA
ENSG00000005007.12	1352.62893363209	1.22651381056879	0.861670150280773	1.4234145283658	0.154616023313902	0.703808002953415
ENSG00000005020.12	142.662946525007	5.86046019845561	1.53474446821157	3.81852505080848	0.000134251953414545	0.011680803183601
ENSG00000005022.5	4652.93917823712	0.4486068317631	0.485588792200607	0.923840992560986	0.355569108928736	0.866426740948178
ENSG00000005059.15	44.3712784644327	-2.90375737290205	3.91038049078236	-0.742576682690305	NA	NA
ENSG00000005073.5	0	NA	NA	NA	NA	NA
ENSG00000005075.15	1667.60884152398	-0.61997768682088	0.594737559718163	-1.04243910055837	0.297208146324338	0.833279146732961
ENSG00000005100.12	65.5533400642208	0.744583929612909	2.03763273191591	0.365416160601624	0.714800779686516	0.959751083669167
ENSG00000005102.12	0.0426899906923941	-3.01512666653764	4.29141088612688	-0.702595660621739	0.482307767552323	NA
ENSG00000005108.15	12.509524505522	-4.77201540531891	4.04879328285587	-1.1786265862289	0.238546900299306	0.790627539960542
ENSG00000005156.11	516.793312633487	-0.360470553335843	1.07370350906175	-0.335726343719261	0.737077238289662	0.965045059171666
ENSG00000005175.9	270.890099168834	-1.86794324484158	1.71728566412103	-1.08773006370938	0.276714291645743	0.821172124006383
ENSG00000005187.11	0.104837690876544	-3.01515154847703	4.29141038631325	-0.702601540531607	0.482304102188193	NA
ENSG00000005189.19	172.228299194683	0.73655516046678	1.81822757629216	0.405095143243184	0.685407576349631	0.956703506557965
ENSG00000005194.14	1615.06116248717	1.04062737992731	0.655254401148259	1.58812726492752	0.112257564134638	0.630504658325665
ENSG00000005206.16	567.154764822364	-0.394645989376528	1.02684402435334	-0.384329050972525	0.700734578760105	0.957975000016381
ENSG00000005238.19	658.311967581118	-0.129744243271497	0.741604448997698	-0.174950734784359	0.861118344388281	0.980004537420453
ENSG00000005243.9	302.299279896421	1.83404145986801	1.71560175240128	1.06903683054704	0.285053073833225	0.826588133569915
ENSG00000005249.12	1822.56265682417	0.853053631878178	0.717611668619872	1.18873991210147	0.234542029632509	0.786349022480339
ENSG00000005302.17	160.790541070908	23.2970400583161	3.89091012745877	5.98755542923111	NA	NA
ENSG00000005339.14	1844.96575585536	1.78594384629478	0.833363791522169	2.14305428729114	0.0321087394851243	0.390436683068665
ENSG00000005379.15	168.064976959581	-2.51810967265908	2.05152309880869	-1.22743422880364	0.219659427980513	0.774046345601462
ENSG00000005381.7	0	NA	NA	NA	NA	NA
ENSG00000005421.8	0	NA	NA	NA	NA	NA
ENSG00000005436.13	156.663741426175	1.99964208666725	1.51208156056429	1.32244327212152	NA	NA
ENSG00000005448.16	387.472785750266	0.79760693462808	1.07874288417177	0.739385581431166	0.459672895092095	0.895625415370291
ENSG00000005469.11	30.0312754131795	-1.9627744854341	2.21775044486953	-0.885029463064576	0.376140740875723	0.870654770074468
ENSG00000005471.15	142.732878708342	1.68321178472392	2.69762978683082	0.62395951918271	NA	NA
ENSG00000005483.20	1035.87077261658	2.16469837749209	1.21339097237789	1.78400732061647	0.0744224756170441	0.55072086546164
ENSG00000005486.16	2602.43788621067	-0.15317846117317	0.505615430952551	-0.302954482391075	0.76192455017002	0.967680032267215
ENSG00000005513.9	8.80824614288223	-7.72699506918523	4.26177586887375	-1.81309278266368	NA	NA
ENSG00000005700.14	447.330571443224	1.75804098291184	1.15984933313781	1.51574944493498	0.129582719790268	0.662439686596942
ENSG00000005801.16	189.723444697876	0.41023642799715	1.4686270539454	0.279333290841313	0.779989060253852	0.969628092992853
ENSG00000005810.17	1113.45595466689	0.834633983675591	0.773475080124404	1.07907029602214	0.280556391720854	0.823060843058628
ENSG00000005812.10	331.368725058432	1.18815094321316	1.2344966508929	0.962457810115392	0.335819686350919	0.857658982929506
ENSG00000005844.17	0.0524188454382719	-3.01512666653764	4.29141088612688	-0.702595660621739	0.482307767552322	NA
ENSG00000005882.11	2403.04095468524	-0.450605009603097	0.675342369716536	-0.667224551292748	0.504628711124208	0.903073708337977
ENSG00000005884.17	6839.58299448956	-0.167061836374581	0.547248093713847	-0.305276232651321	0.760155776097986	0.967270518812412
ENSG00000005889.15	1044.21392748353	-0.56780398418005	0.84236737925473	-0.674057422169416	0.500274807493717	0.901700039264336
ENSG00000005893.15	939.708849485299	1.35609142623621	1.16364914935125	1.16537826456733	0.243865911461138	0.794953581235778
ENSG00000005961.17	0	NA	NA	NA	NA	NA
ENSG00000005981.12	0.512862283177561	-3.01522616759397	4.29140888746814	-0.702619173949865	0.482293110120909	NA
